indice,asignatura,cod_asignatura,cod_plan,curso_aca,id,cod_tipologia,plan,tipologia,universidad,cod_universidad
1,Álgebra,3012315ALG,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
2,Informática Básica,3012315INF,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
3,Cálculo,3012315CAL,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
4,Fundamentos Físicos,3012315FIS,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
5,Algoritmos y Estructuras de Datos,3012315AED,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
6,Principios de Computadores,3012315PRI,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
7,Optimización,3012315OPT,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
8,Sistemas Electrónicos Digitales,3012315SED,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
9,Expresión Gráfica,3012315EXP,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
10,Organizaciones Empresariales,3012315ORG,ING-Informática,2017/2018,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
11,Estructuras de Computadores,3012315EST,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
12,Sistemas Operativos,3012315SIS,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
13,Inglés Técnico,3012315ING,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
14,Fundamentos de Ingeniería del Software,3012315FIS,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
15,Código Deontológico y Aspectos Legales,3012315COD,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
16,Informática Básica,3012315INF,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
17,Cálculo,3012315CAL,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
18,Algoritmos y Estructuras de Datos,3012315AED,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
19,Principios de Computadores,3012315PRI,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
20,Optimización,3012315OPT,ING-Informática,2018/2019,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
21,Algoritmos y Estructuras de Datos,3012315AED,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
22,Cálculo,3012315CAL,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
23,Principios de Computadores,3012315PRI,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
24,Estadística,3012315EST,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
25,Computabilidad y Algoritmia,3012315COM,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
26,Estructuras de Computadores,3012315EST,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
27,Sistemas Operativos,3012315SIS,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
28,Algoritmos y Estructuras de Datos Avanzados,3568974ALA,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
29,Redes y Sistemas Distribuidos,3568974RED,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
30,Administración de Sistemas,3568974ADM,ING-Informática,2019/2020,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
31,Algoritmos y Estructuras de Datos,3012315AED,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
32,Estadística,3012315EST,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
33,Computabilidad y Algoritmia,3012315COM,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
34,Sistemas Operativos,3012315SIS,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
35,Algoritmos y Estructuras de Datos Avanzados,3568974ALA,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
36,Administración de Sistemas,3568974ADM,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
37,Sistemas de Interacción Persona-Computador,3568974SIP,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
38,Gestión de Proyectos Informáticos,3568974GPI,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
39,Modelado de Datos,3568974MOD,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
40,Gestión de la Calidad,3568974GCA,ING-Informática,2020/2021,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
41,Algoritmos y Estructuras de Datos,3012315AED,ING-Informática,2021/2022,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
42,Estadística,3012315EST,ING-Informática,2021/2022,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
43,Computabilidad y Algoritmia,3012315COM,ING-Informática,2021/2022,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
44,Sistemas Operativos,3012315SIS,ING-Informática,2021/2022,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
45,Algoritmos y Estructuras de Datos Avanzados,3568974ALA,ING-Informática,2021/2022,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
46,Bases de Datos,3568974BDA,ING-Informática,2021/2022,FPM12345,M7QB,Plan 2018,Básica,Universidad de la Laguna,ULL015
