indice,conv,curso_aca,especialidad,id,nota_bach,nota_def,nota_prue,universidad,cod_universidad
1,Junio,2017/2018,Tecnología,FPM12345,7.5,7.5,7.5,Universidad de la Laguna,ULL015
2,Junio,2018/2019,Tecnología,FRA98765,8.5,6.5,6.3,Universidad de la Laguna,ULL015
3,Junio,2017/2018,Tecnología,VMM14584,8.5,7.5,9.5,Universidad de la Laguna,ULL015
4,Junio,2017/2018,Tecnología,CVM56789,8.5,6.5,6.3,Universidad de la Laguna,ULL015
5,Junio,2017/2018,Tecnología,EJM11111,8.5,7.5,9.5,Universidad de la Laguna,ULL015
6,Junio,2017/2018,Ciencias,KKK00000,8.5,6.5,6.3,Universidad de la Laguna,ULL015
7,Junio,2018/2019,Tecnología,PPP22222,7.5,6.5,8.5,Universidad de la Laguna,ULL015
8,Julio,2019/2020,Ciencias Sociales,BvDyW#####,9.83,8.61,6.89,Universidad de la Laguna,ULL015
9,Julio,2018/2019,Tecnología,qMvQU#####,9.49,5.22,6.49,Universidad de la Laguna,ULL015
10,Julio,2019/2020,Tecnología,ZImuf#####,5.13,6.16,7.18,Universidad de la Laguna,ULL015
11,Junio,2018/2019,Tecnología,UAtDN#####,9.34,7.59,5.3,Universidad de la Laguna,ULL015
12,Junio,2020/2021,Ciencias Sociales,dZdlN#####,5.61,5.03,8.31,Universidad de la Laguna,ULL015
13,Julio,2018/2019,Tecnología,nhqrk#####,6.64,8.93,8.87,Universidad de la Laguna,ULL015
14,Septiembre,2019/2020,Ciencias Sociales,kuHwb#####,8.93,8.05,7.44,Universidad de la Laguna,ULL015
15,Julio,2020/2021,Ciencias Sociales,EnLiV#####,8.54,6.38,8.16,Universidad de la Laguna,ULL015
16,Junio,2022/2023,Tecnología,WgvcI#####,9.79,9.78,8.21,Universidad de la Laguna,ULL015
17,Julio,2022/2023,Ciencias Sociales,AmoBo#####,6.82,9.04,5.11,Universidad de la Laguna,ULL015
18,Junio,2020/2021,Ciencias Sociales,rVHho#####,9.98,6.9,8.68,Universidad de la Laguna,ULL015
19,Septiembre,2021/2022,Ciencias Sociales,zZBZw#####,7.21,6.88,7.59,Universidad de la Laguna,ULL015
20,Junio,2018/2019,Tecnología,VisXm#####,5.28,9.37,9.56,Universidad de la Laguna,ULL015
21,Septiembre,2017/2018,Ciencias Sociales,SoFNG#####,8.64,7.02,5.67,Universidad de la Laguna,ULL015
22,Julio,2018/2019,Ciencias Sociales,mgCpD#####,6.18,7.33,5.15,Universidad de la Laguna,ULL015
