indice,cod_plan,curso_aca,id,nota_media,plan,universidad,cod_universidad
1,ING-Informática,2023/2024,FPM12345,6.81,Plan 2022,Universidad de la Laguna,ULL015
2,ING-Informática,2020/2021,VMM14584,8.52,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015
3,ING-Informática,2023/2024,FRA98765,7.06,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015
4,M-Informática,2024/2025,FPM12345,8.19,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015
5,ING-Electrónica,2020/2021,EJM11111,7.9,Plan 2022,Universidad de la Laguna,ULL015
6,SALUD-Enfermería,2020/2021,KKK00000,7.5,Plan 2022,Universidad de la Laguna,ULL015
7,Máster-Universitario-en-Ingeniería-Informática,2021/2022,xDOXg#####,5.54,Máster-Universitario-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
8,Grado-en-Enfermería,2023/2024,ZUhbt#####,7.17,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
9,Grado-en-Ingeniería-de-Telecomunicaciones,2022/2023,Hsisu#####,8.61,Grado-en-Ingeniería-de-Telecomunicaciones-Plan Propio,Universidad de la Laguna,ULL015
10,Grado-en-Ingeniería-Informática,2024/2025,nhqrk#####,9.24,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
11,Grado-en-Matemáticas-Aplicadas,2021/2022,MwvjD#####,9.53,Grado-en-Matemáticas-Aplicadas-Plan Propio,Universidad de la Laguna,ULL015
12,Máster-Universitario-en-Ingeniería-Informática,2022/2023,ofuWZ#####,7.11,Máster-Universitario-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
13,Grado-en-Ingeniería-Electrónica,2023/2024,FXxXy#####,9.71,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
14,Grado-en-Enfermería,2025/2026,zKsqL#####,7.27,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
15,Grado-en-Ingeniería-Electrónica,2024/2025,nlPgG#####,9.86,Grado-en-Ingeniería-Electrónica-Plan Propio,Universidad de la Laguna,ULL015
16,Grado-en-Ingeniería-de-Telecomunicaciones,2025/2026,NlVrS#####,8.13,Grado-en-Ingeniería-de-Telecomunicaciones-Plan Propio,Universidad de la Laguna,ULL015
17,Grado-en-Ingeniería-Informática,2021/2022,ZhivN#####,6.3,Grado-en-Ingeniería-Informática-Plan Propio,Universidad de la Laguna,ULL015
18,Grado-en-Enfermería,2022/2023,CkybF#####,9.27,Grado-en-Enfermería-Plan Propio,Universidad de la Laguna,ULL015
