indice,ambito_isced,cod_plan,cod_mec,curso_aca,municipio,nacionalidad,nuevo_ingreso,provincia,rama,sexo,titulacion,nombre_plan_propio,universidad,cod_universidad,cod_tipo_matricula,tipo_matricula,id
1,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
2,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
3,Tecnología,ING-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
4,Tecnología,ING-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
5,Tecnología,ING-Informática,Y7X359,2021/2022,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
6,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
7,Tecnología,ING-Informática,Y7X359,2023/2024,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
8,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VMM14584
9,Tecnología,ING-Informática,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,CVM56789
10,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VMM14584
11,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,CVM56789
12,Tecnología,ING-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VMM14584
13,Tecnología,ING-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,VMM14584
14,Tecnología,ING-Informática,Y7X359,2018/2019,Santa Cruz de Tenerife,Francia,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FRA98765
15,Tecnología,ING-Informática,Y7X359,2019/2020,Santa Cruz de Tenerife,Francia,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Univernodad de la Laguna,ULL015,N25H,Completa,FRA98765
16,Tecnología,ING-Informática,Y7X359,2020/2021,Santa Cruz de Tenerife,Francia,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Univernodad de la Laguna,ULL015,N25H,Completa,FRA98765
17,Tecnología,ING-Informática,Y7X359,2022/2023,Santa Cruz de Tenerife,Francia,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FRA98765
18,Tecnología,ING-Informática,Y7X359,2023/2024,Santa Cruz de Tenerife,Francia,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FRA98765
19,Tecnología,M-Informática,Y7X359,2023/2024,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
20,Tecnología,M-Informática,Y7X359,2024/2025,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Masculino,Máster Universitario en Ingeniería Informática,ING-Informática-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,FPM12345
21,Tecnología,ING-Electrónica,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Electrónica-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,EJM11111
22,Tecnología,ING-Electrónica,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Electrónica-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,EJM11111
23,Tecnología,ING-Electrónica,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Electrónica-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,EJM11111
24,Tecnología,ING-Electrónica,Y7X359,2020/2021,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ingeniería y Arquitectura,Femenino,Grado en Ingeniería Electrónica,ING-Electrónica-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,EJM11111
25,Ciencias,SALUD-Enfermería,Y7X359,2017/2018,Santa Cruz de Tenerife,España,si,Santa Cruz de Tenerife,Ciencias de la Salud,Masculino,Grado en Enfermería,SALUD-Enfermería-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,KKK00000
26,Ciencias,SALUD-Enfermería,Y7X359,2018/2019,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ciencias de la Salud,Masculino,Grado en Enfermería,SALUD-Enfermería-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,KKK00000
27,Ciencias,SALUD-Enfermería,Y7X359,2019/2020,Santa Cruz de Tenerife,España,no,Santa Cruz de Tenerife,Ciencias de la Salud,Masculino,Grado en Enfermería,SALUD-Enfermería-Plan Propio,Universidad de la Laguna,ULL015,N25H,Completa,KKK00000
