id,anio_nac,universidad,cod_universidad,abandona
loq23385,1984,Universidad de Madrid,UDM01,no
MDG34240,1986,Universidad de Madrid,UDM01,si
AdA64305,1982,Universidad de Madrid,UDM01,no
HZT55367,1982,Universidad de Barcelona,UDB02,si
lJJ27682,1980,Universidad de Madrid,UDM01,si
ohi23797,1990,Universidad de Madrid,UDM01,si
eDD88344,1998,Universidad de La Laguna,ULL03,si
ysk66229,1996,Universidad de Barcelona,UDB02,si
cfZ71489,1991,Universidad de Barcelona,UDB02,no
Uyg37920,1991,Universidad de Barcelona,UDB02,si
gRe60427,1996,Universidad de Madrid,UDM01,si
bcg49937,1993,Universidad de La Laguna,ULL03,si
lDl56865,1984,Universidad de Barcelona,UDB02,no
nov07487,1999,Universidad de La Laguna,ULL03,no
YAd86690,1993,Universidad de Madrid,UDM01,si
nuq45300,1992,Universidad de Madrid,UDM01,no
dkA84173,1990,Universidad de Barcelona,UDB02,si
wTn56572,1987,Universidad de Barcelona,UDB02,no
qda41859,1985,Universidad de La Laguna,ULL03,no
wFX32130,1983,Universidad de Barcelona,UDB02,no
Cpa35040,1987,Universidad de Madrid,UDM01,no
svw87778,1989,Universidad de Madrid,UDM01,no
CvQ72011,1985,Universidad de La Laguna,ULL03,si
jCB51695,1997,Universidad de La Laguna,ULL03,si
LDZ24932,1991,Universidad de Madrid,UDM01,no
UKG81213,1996,Universidad de La Laguna,ULL03,no
OgM88753,1983,Universidad de Madrid,UDM01,si
ChF12116,1995,Universidad de La Laguna,ULL03,no
WwS67801,1999,Universidad de Barcelona,UDB02,si
nCa64066,1997,Universidad de Barcelona,UDB02,si
wPR74513,1998,Universidad de La Laguna,ULL03,si
FXH57933,1998,Universidad de Barcelona,UDB02,no
uoL11258,1985,Universidad de La Laguna,ULL03,si
Lxj17362,1999,Universidad de Madrid,UDM01,si
uKh65990,1997,Universidad de Barcelona,UDB02,si
wtP85423,1998,Universidad de La Laguna,ULL03,si
DYx71541,1990,Universidad de Madrid,UDM01,no
MAX19373,1985,Universidad de La Laguna,ULL03,si
YOy27510,1997,Universidad de La Laguna,ULL03,si
TCu70341,1980,Universidad de Madrid,UDM01,si
VWa36267,1981,Universidad de La Laguna,ULL03,si
