indice,conv,curso_aca,especialidad,id,nota_bach,nota_def,nota_prue,universidad,cod_universidad
1,C24,2023/2024,similique,loq23385,7.21,5.53,9.07,Universidad de Madrid,UDM01
2,C44,2021/2022,nobis,MDG34240,9.29,8.23,8.41,Universidad de Barcelona,UDB02
3,C51,2020/2021,dolores,AdA64305,9.75,7.56,7.38,Universidad de Madrid,UDM01
4,C34,2018/2019,possimus,HZT55367,9.8,5.85,9.76,Universidad de Madrid,UDM01
5,C13,2020/2021,quasi,lJJ27682,8.91,6.76,8.84,Universidad de Madrid,UDM01
6,C88,2023/2024,accusamus,ohi23797,5.43,6.75,6.82,Universidad de Barcelona,UDB02
7,C24,2018/2019,cum,eDD88344,5.76,5.23,6.0,Universidad de Barcelona,UDB02
8,C73,2021/2022,quo,ysk66229,9.41,9.7,5.02,Universidad de Barcelona,UDB02
9,C48,2021/2022,provident,cfZ71489,5.75,9.45,6.15,Universidad de La Laguna,ULL03
10,C14,2018/2019,incidunt,Uyg37920,7.27,7.14,7.12,Universidad de La Laguna,ULL03
11,C42,2017/2018,quia,gRe60427,5.71,6.99,8.86,Universidad de Madrid,UDM01
12,C49,2017/2018,quis,bcg49937,6.52,6.03,8.98,Universidad de Madrid,UDM01
13,C84,2021/2022,rerum,lDl56865,8.06,5.76,6.22,Universidad de La Laguna,ULL03
14,C99,2022/2023,quo,nov07487,7.01,9.08,5.33,Universidad de La Laguna,ULL03
15,C94,2019/2020,sint,YAd86690,8.36,7.81,6.04,Universidad de La Laguna,ULL03
16,C18,2017/2018,officiis,nuq45300,7.0,5.07,7.18,Universidad de La Laguna,ULL03
17,C56,2018/2019,maiores,dkA84173,9.96,9.82,8.11,Universidad de Madrid,UDM01
18,C80,2020/2021,saepe,wTn56572,6.88,8.65,5.62,Universidad de Madrid,UDM01
19,C93,2020/2021,quis,qda41859,5.86,6.88,7.15,Universidad de Madrid,UDM01
20,C30,2023/2024,doloribus,wFX32130,7.94,5.21,8.94,Universidad de Barcelona,UDB02
21,C86,2018/2019,recusandae,Cpa35040,8.35,6.15,8.51,Universidad de La Laguna,ULL03
22,C53,2018/2019,facilis,svw87778,6.43,6.69,7.96,Universidad de La Laguna,ULL03
23,C14,2020/2021,neque,CvQ72011,6.54,7.13,7.08,Universidad de La Laguna,ULL03
24,C78,2018/2019,magnam,jCB51695,7.81,9.17,8.38,Universidad de La Laguna,ULL03
25,C48,2021/2022,aspernatur,LDZ24932,7.03,6.78,8.33,Universidad de Madrid,UDM01
26,C31,2018/2019,aspernatur,UKG81213,5.91,9.78,9.11,Universidad de Barcelona,UDB02
27,C30,2022/2023,commodi,OgM88753,6.07,8.51,7.35,Universidad de La Laguna,ULL03
28,C77,2022/2023,veritatis,ChF12116,7.34,9.53,7.31,Universidad de La Laguna,ULL03
29,C82,2017/2018,suscipit,WwS67801,6.24,8.82,8.34,Universidad de Barcelona,UDB02
30,C86,2017/2018,maxime,nCa64066,9.43,8.24,9.59,Universidad de Barcelona,UDB02
31,C52,2021/2022,accusamus,wPR74513,5.01,9.55,7.36,Universidad de La Laguna,ULL03
32,C48,2017/2018,deleniti,FXH57933,6.24,8.08,8.46,Universidad de Barcelona,UDB02
33,C46,2021/2022,libero,uoL11258,9.85,8.95,6.6,Universidad de Barcelona,UDB02
34,C76,2023/2024,veniam,Lxj17362,7.89,7.31,6.01,Universidad de Madrid,UDM01
35,C22,2022/2023,aperiam,uKh65990,9.5,6.23,6.23,Universidad de Madrid,UDM01
36,C89,2023/2024,sint,wtP85423,7.58,6.09,8.86,Universidad de Madrid,UDM01
37,C17,2021/2022,illum,DYx71541,7.97,6.14,8.92,Universidad de Barcelona,UDB02
38,C89,2018/2019,recusandae,MAX19373,6.48,7.36,8.72,Universidad de Madrid,UDM01
39,C03,2023/2024,atque,YOy27510,6.44,6.75,5.08,Universidad de Barcelona,UDB02
40,C66,2022/2023,excepturi,TCu70341,9.44,7.8,6.59,Universidad de La Laguna,ULL03
41,C96,2018/2019,amet,VWa36267,9.16,6.04,6.31,Universidad de La Laguna,ULL03
42,C58,2022/2023,amet,Pep48985,6.76,6.58,6.8,Universidad de Madrid,UDM01
43,C00,2019/2020,maiores,xiK29535,5.64,6.67,8.15,Universidad de Madrid,UDM01
