indice,cod_plan,curso_aca,id,nota_media,plan,universidad,cod_universidad
1,PLAN180hL,2022/2023,AAr45979,8.95,occaecati,Universidad de La Laguna,ULL03
2,PLAN485Fi,2023/2024,ApJ33610,5.32,incidunt,Universidad de Barcelona,UDB02
3,PLAN485Fi,2023/2024,BGP74425,5.04,consequatur,Universidad de La Laguna,ULL03
4,PLAN180hL,2023/2024,Bbq82935,8.67,architecto,Universidad de Madrid,UDM01
5,PLAN983cq,2022/2023,Bcp83019,5.96,architecto,Universidad de Madrid,UDM01
6,PLAN180hL,2023/2024,CpG48400,9.92,expedita,Universidad de Madrid,UDM01
7,PLAN180hL,2022/2023,EOb45830,5.55,delectus,Universidad de La Laguna,ULL03
8,PLAN485Fi,2023/2024,EiN23604,7.43,odit,Universidad de La Laguna,ULL03
9,PLAN367gw,2022/2023,Fcb54142,5.55,repellendus,Universidad de Barcelona,UDB02
10,PLAN485Fi,2022/2023,Gbz68991,7.48,explicabo,Universidad de Madrid,UDM01
11,PLAN180hL,2023/2024,INl34316,7.71,velit,Universidad de La Laguna,ULL03
12,PLAN485Fi,2022/2023,KtU00944,7.21,adipisci,Universidad de Barcelona,UDB02
13,PLAN485Fi,2021/2022,Nil18622,8.08,exercitationem,Universidad de Barcelona,UDB02
14,PLAN367gw,2022/2023,RIE36396,9.53,quibusdam,Universidad de Barcelona,UDB02
15,PLAN367gw,2023/2024,Sxj41502,5.11,necessitatibus,Universidad de Madrid,UDM01
16,PLAN367gw,2022/2023,TKO38681,5.76,cupiditate,Universidad de Barcelona,UDB02
17,PLAN367gw,2023/2024,Tak83834,7.44,molestiae,Universidad de La Laguna,ULL03
18,PLAN180hL,2023/2024,Tun48440,5.39,doloribus,Universidad de Madrid,UDM01
19,PLAN367gw,2023/2024,VeV36386,8.07,voluptates,Universidad de Barcelona,UDB02
20,PLAN180hL,2023/2024,bVz28836,5.78,ipsa,Universidad de Barcelona,UDB02
21,PLAN180hL,2023/2024,bxu57853,5.65,eaque,Universidad de La Laguna,ULL03
22,PLAN983cq,2023/2024,cEs15918,6.23,magnam,Universidad de Madrid,UDM01
23,PLAN367gw,2023/2024,dOj16079,9.17,itaque,Universidad de La Laguna,ULL03
24,PLAN983cq,2023/2024,fet29469,5.78,consequuntur,Universidad de La Laguna,ULL03
25,PLAN180hL,2022/2023,fyl69678,5.43,fugit,Universidad de Barcelona,UDB02
26,PLAN983cq,2023/2024,gNj59409,9.68,fuga,Universidad de Madrid,UDM01
27,PLAN485Fi,2023/2024,gzK88573,7.61,enim,Universidad de La Laguna,ULL03
28,PLAN983cq,2023/2024,hve15373,6.76,odio,Universidad de Barcelona,UDB02
29,PLAN983cq,2022/2023,kws66404,7.92,delectus,Universidad de Barcelona,UDB02
30,PLAN367gw,2022/2023,nYP84044,5.86,facilis,Universidad de La Laguna,ULL03
31,PLAN367gw,2023/2024,ozK06054,7.83,quasi,Universidad de Madrid,UDM01
32,PLAN180hL,2022/2023,qad76081,5.25,totam,Universidad de Madrid,UDM01
33,PLAN367gw,2023/2024,qdP18665,8.55,voluptates,Universidad de La Laguna,ULL03
34,PLAN180hL,2022/2023,xfY53806,5.92,fugiat,Universidad de La Laguna,ULL03
35,PLAN983cq,2023/2024,ylo00558,8.97,necessitatibus,Universidad de La Laguna,ULL03
