indice,ambito_isced,cod_plan,cod_mec,curso_aca,municipio,nacionalidad,nuevo_ingreso,provincia,rama,sexo,titulacion,nombre_plan_propio,universidad,cod_universidad,cod_tipo_matricula,tipo_matricula,id
1,IS05,PLAN180hL,MEC86,2021/2022,Barcelona,República Checa,si,Las Palmas,Humanidades,Masculino,Historia,harum,Universidad de Madrid,UDM01,T13,numquam,loq23385
2,IS41,PLAN180hL,MEC32,2022/2023,Barcelona,República Checa,no,Las Palmas,Humanidades,Masculino,Historia,harum,Universidad de Madrid,UDM01,T13,numquam,loq23385
3,IS86,PLAN180hL,MEC64,2020/2021,Barcelona,República Checa,no,Las Palmas,Humanidades,Masculino,Historia,harum,Universidad de Madrid,UDM01,T13,numquam,loq23385
4,IS70,PLAN180hL,MEC92,2023/2024,Barcelona,República Checa,no,Las Palmas,Humanidades,Masculino,Historia,harum,Universidad de Madrid,UDM01,T13,numquam,loq23385
5,IS64,PLAN180hL,MEC32,2018/2019,Barcelona,República Checa,no,Las Palmas,Humanidades,Masculino,Historia,harum,Universidad de Madrid,UDM01,T13,numquam,loq23385
6,IS12,PLAN180hL,MEC80,2021/2022,Álava,Bhután,si,Asturias,Humanidades,Femenino,Historia,commodi,Universidad de Madrid,UDM01,T85,rem,MDG34240
7,IS11,PLAN180hL,MEC89,2023/2024,Álava,Bhután,no,Asturias,Humanidades,Femenino,Historia,commodi,Universidad de Madrid,UDM01,T85,rem,MDG34240
8,IS54,PLAN180hL,MEC56,2019/2020,Álava,Bhután,no,Asturias,Humanidades,Femenino,Historia,commodi,Universidad de Madrid,UDM01,T85,rem,MDG34240
9,IS04,PLAN485Fi,MEC60,2023/2024,Tarragona,Portugal,si,Soria,Ciencias Sociales y Jurídicas,Masculino,Derecho,accusamus,Universidad de Madrid,UDM01,T46,nobis,AdA64305
10,IS22,PLAN485Fi,MEC33,2017/2018,Tarragona,Portugal,no,Soria,Ciencias Sociales y Jurídicas,Masculino,Derecho,accusamus,Universidad de Madrid,UDM01,T46,nobis,AdA64305
11,IS95,PLAN485Fi,MEC71,2019/2020,Tarragona,Portugal,no,Soria,Ciencias Sociales y Jurídicas,Masculino,Derecho,accusamus,Universidad de Madrid,UDM01,T46,nobis,AdA64305
12,IS51,PLAN367gw,MEC83,2018/2019,Valencia,Panamá,si,Salamanca,Ciencias de la Salud,Masculino,Medicina,eaque,Universidad de Barcelona,UDB02,T12,sapiente,HZT55367
